Conversation,type
请问你们银行的储蓄账户有什么特色服务？,1
我想咨询一下关于农业贷款的具体信息。,2
我想了解一下贵行的消费贷款产品。,2
我刚收到新卡，怎么在网上或者手机上激活？,3
我想咨询一下关于企业流动资金贷款的问题。,2
我想增加我的储蓄账户的每日取款限额，需要什么条件？,1
我公司需要定期向海外供应商汇款，有没有相关的企业服务？,5
我的信用卡好像被盗刷了，我该怎么紧急冻结它？,3
我对贵行的货币市场基金感兴趣，可以详细介绍一下吗？,4
我能否在一个账户里设置多个储蓄目标？,1
我想更改信用卡还款账户，需要提供什么资料？,3
我想了解贵行储蓄账户的优惠利率。,1
请问我可以用我的投资证券作为贷款的担保吗？,2
请问贵行国际汇款可以选择多种货币吗？,5
请问贵行提供国际汇款的汇率锁定服务吗？,5
我需要知道国际汇款的取消和退款政策。,5
我想用信用卡支付我的水电费，应该怎么设置？,3
我信用卡的账单有问题，怎么联系客服解决？,3
我想了解一下，你们银行的个人信用贷款最高额度是多少？,2
请问贵行信用卡的逾期还款会影响个人信用记录吗？,3
我想了解一下贵行的国际汇款收款人信息要求。,5
我想查询我的储蓄账户最近的交易记录。,1
我想提高我的信用卡额度，需要提交哪些资料？,3
请问贵行是否提供外币汇款到中国的服务？,5
我的信用卡丢了，怎么办理挂失和补办？,3
我想知道，你们银行的汇款是否可以实时跟踪？,5
我想取消我信用卡的自动扣款功能，应该怎么操作？,3
请问贵行有没有关于投资保险产品的信息？,4
我想关闭我的信用卡账户，需要注意什么？,3
请问我可以在贵行的ATM机上办理国际汇款吗？,5
如果我现在申请车贷，大概每月还款额是多少？,2
请问贵行的国际汇款服务周末也能办理吗？,5
我想更改储蓄账户的账单邮寄地址。,1
我丢失了我的存折，需要怎么办理补办？,1
请问贵行的信用卡有没有保险服务？比如购物保险。,3
请问贵行有提供装修贷款服务吗？需要怎样的条件？,2
请问贵行的学生贷款利率是如何计算的？,2
你们有提供外汇风险管理的服务吗？,5
我是外籍人士，能在贵行申请住房贷款吗？,2
请问我可以用手机银行管理我的储蓄账户吗？,1
请问贵行有没有提供一键冻结储蓄账户的服务？,1
我有一笔贷款想提前还清，会有手续费吗？,2
请问贵行汇款到东南亚国家有什么特别要求？,5
请问贵行是否提供定期国际汇款的服务？,5
我想知道，如果汇款出现问题，我该如何联系银行？,5
请问你们提供定制的投资组合服务吗？,4
我想了解一下关于海外留学贷款的细节。,2
我想了解一下，我的储蓄账户是否可以进行外汇交易？,1
我想修改我的信用卡账单的电子邮箱地址，应该怎么做？,3
请问贵行的理财顾问可以帮助我规划我的教育基金吗？,4
我想关闭我的储蓄账户，流程是怎样的？,1
我想为我的孩子开设一个教育储蓄账户，需要哪些文件？,1
我在网上看到一个信用卡促销活动，想咨询一下详情。,3
我想用信用卡支付国外消费，需要开通什么服务吗？,3
请问贵行处理国际电汇的时间需要多久？,5
我需要换一些欧元，请问贵行的兑换率是怎样的？,5
我对房屋装修贷款很感兴趣，请问有相关的产品吗？,2
我公司想汇款到多个国家，你们有没有统一的解决方案？,5
请问储蓄账户能绑定多张银行卡吗？,1
我需要汇款到澳大利亚，贵行有什么特别的要求吗？,5
请问贵行是否支持在线提交国际汇款申请？,5
请问贵行国际汇款可以汇到哪些国家和地区？,5
我想用我的外币储蓄账户进行汇款，可以吗？,5
你们银行的贷款审批流程一般需要多久？,2
你们银行的储蓄账户每年的利息是怎么计算的？,1
你们的汇款是否支持多种外币间的直接转换？,5
我想知道信用卡申请被拒绝的原因。,3
我对数字货币投资很感兴趣，贵行有提供相关的咨询和服务吗？,4
请问贵行贷款有没有年龄限制？,2
我想提前还清我的房贷，有没有什么手续费或者罚金？,2
我想将我的储蓄账户转为共同账户，需要什么手续？,1
我想了解一下，办理房屋抵押贷款的流程是怎样的？,2
我想知道，你们银行是否提供留学贷款？,2
请问贵行储蓄账户有没有什么特殊的账户管理工具？,1
请问储蓄账户可以设定紧急联系人吗？,1
请问贵行是否支持国际汇款到多个收款人？,5
我想定期查看我的投资组合的表现，你们怎样提供这种服务？,4
请问贵行提供储蓄账户的账单打印服务吗？,1
我想知道办理房贷的具体流程和时间安排。,2
我公司要汇款到非洲，需要注意什么？,5
请问贷款逾期的话，利息怎么计算？,2
请问贵行处理国际电汇的时间需要多久？,5
你们的汇款是否支持多种外币间的直接转换？,5
我想知道信用卡的最低还款额是怎么计算的。,3
请问贵行的理财产品中，有没有专注于环保和可持续发展的投资？,4
请问贵行有没有提供关于投资风险管理的咨询？,4
我刚搬家，需要更新银行账户的通讯地址。,1
我想知道国际汇款的最低和最高金额限制。,5
我想知道如何监控我储蓄账户的异常活动。,1
请问贵行的理财产品收益率一般是多少？,4
请问贵行是否有提供对国际汇款的加急服务？,5
你们有没有适合初学者的投资项目推荐？,4
请问我可以设置信用卡消费的提醒吗？比如短信通知。,3
请问我可以在网上直接办理国际汇款吗？,5
我想知道，如果我要投资外汇，需要注意什么？,4
我想了解一下，你们银行对贷款的还款方式有哪些规定？,2
请问贵行的储蓄账户有没有数字银行服务？,1
我想知道，是否所有的国际汇款都需要提供收款人的详细地址？,5
请问你们银行的学生贷款有哪些优惠政策？,2
我想了解一下储蓄账户的年费和其他相关费用。,1
我想申请家庭成员附属卡，需要什么条件？,3
请问投资贵金属和投资股票相比，风险和收益怎么样？,4
我想了解贵行信用卡的积分可以兑换哪些商品或服务？,3
请问我能否在网上查询我的国际汇款状态？,5
你们银行的信用卡有哪些优惠活动或者返现政策？,3
请问贵行储蓄账户有没有网上银行服务？,1
请问使用信用卡在国外消费，汇率是怎么计算的？,3
我想了解一下贵行的跨境汇款储蓄账户。,1
你们银行的利率是怎样的？比其他银行高吗？,1
我想知道向欧盟国家汇款的具体流程。,5
你们有没有针对旅行积分的信用卡推荐？,3
我想知道我的储蓄账户是否可以绑定多张银行卡？,1
请问如何查询我的储蓄账户的年终对账单？,1
请问用美元汇款和用人民币汇款有什么不同？,5
贵行信用卡的积分怎么兑换，有什么规则吗？,3
我是自雇人士，想申请个人贷款，有什么特殊要求吗？,2
我需要了解一下跨境汇款的税务规定。,5
我需要了解一下贵行对于不同国家汇款的手续费差异。,5
请问贵行有提供储蓄账户的年度报告吗？,1
我想为我的孩子开一个学生储蓄账户，流程是什么样的？,1
你们有提供针对老年人的储蓄账户优惠吗？,1
我是小企业主，想了解一下贵行的商业贷款服务。,2
我对农业贷款很感兴趣，能详细介绍一下吗？,2
请问贵行的外汇存款账户有哪些优势？,5
我想知道开设储蓄账户需要多长时间？,1
我想知道如何取消储蓄账户的短信通知服务。,1
你好，我想了解一下贵行提供的股票投资服务。,4
请问贵行提供短期内的应急贷款服务吗？,2
你们银行的储蓄账户可以设定自动转账吗？,1
贷款办理过程中需要支付哪些费用？,2
请问贵行储蓄账户有没有网上银行服务？,1
我想了解关于外币兑换的更多信息。,5
我想知道，贷款逾期了会有哪些后果？,2
你们银行对于贷款的信用评分要求是多少？,2
我想了解一下贵行的年金产品，特别是税收方面的优惠。,4
请问贵行提供个人无担保贷款吗？,2
请问我如何能够在线管理我的储蓄账户？,1
我有一些外币，想了解外币投资的选项。,4
请问你们银行的信用卡可以申请附属卡吗？附属卡的额度是怎么确定的？,3
我是退休人士，想了解适合我的长期投资策略。,4
贵行信用卡可以办理紧急现金预支服务吗？,3
请问贵行储蓄账户可以设定紧急联系人吗？,1
请问你们银行的汇款是否支持即时到账？,5
信用卡丢失后，补发的卡号会和原来的一样吗？,3
我有一笔紧急汇款需要发送到巴西，怎样操作最快？,5
我想了解一下贵行储蓄账户的利息计算方式。,1
我想查询我的信用卡消费记录，可以在哪里查看？,3
我想将我的工资直接存入储蓄账户。,1
我刚收到信用卡，但上面的姓名拼写有误，该怎么更正？,3
请问汇款到瑞士需要多少手续费？,5
我想了解一下，如何通过贵行投资国外的股票或债券？,4
我想了解贵行提供的教育基金投资服务。,4
我想了解一下贵行的储蓄账户是否支持快速转账服务？,1
我想知道向欧盟国家汇款的具体流程。,5
请问有没有适合创业者的特殊贷款计划？,2
你们有没有提供国际汇款的即时服务？,5
我想了解一下贵行对于储蓄账户的年度总结报告。,1
如果我贷款中途想要更换还款方式，可以吗？,2
我想咨询一下，现在投资黄金是个好时机吗？,4
我想为我的孩子开设一个教育储蓄账户。,1
请问我可以在贵行的不同分行存取我的储蓄账户吗？,1
请问贵行有没有储蓄账户的优惠活动或者礼品？,1
你们的汇款时效一般是多久？,5
请问我新申请的信用卡多久能到？可以追踪邮寄状态吗？,3
我想咨询一下，贷款的年龄限制是怎样的？,2
请问贵行提供储蓄账户的定期报告服务吗？,1
我想开一个外币账户，可以介绍一下具体流程吗？,5
我想取消我的储蓄账户的短信通知服务。,1
我想了解贵行储蓄账户的异地取款手续费。,1
我想了解一下贵行的零存整取账户。,1
请问我可以将我的储蓄账户和贷款账户关联吗？,1
我是留学生，想了解贵行的留学生汇款服务。,5
我想了解一下贵行的国际汇款限额。,5
如果我想增加贷款额度，需要提供什么额外信息？,2
我想修改我的储蓄账户的网上银行密码。,1
对于储蓄账户，你们有没有什么优惠政策或者活动？,1
我想将我在其他银行的账户余额转入贵行的储蓄账户，流程是怎样的？,1
我想了解一下企业贷款的申请条件。,2
请问贵行的国际汇款有限额吗？,5
请问贵行信用卡的年费是多少？有免费的条件吗？,3
我想申请一张信用卡，不知道应该怎么操作？,3
我是企业主，想了解企业理财产品和服务。,4
请问贵行汇往美国的手续费是多少？,5
请问贵行汇款到俄罗斯有什么特别的要求或限制？,5
我想了解一下，贵行的理财产品是否包括对冲基金？,4
请问我该如何开始进行债券投资？你们有专门的顾问吗？,4
我账户里的钱怎么不见了？可以帮我查一下吗？,1
我想了解一下贵行对于大额国际汇款的政策。,5
我丢失了我的银行卡，需要怎样办理挂失和重新申请？,1
我对基金感兴趣，可以详细介绍一下吗？,4
我公司要汇款到非洲，需要注意什么？,5
如果我贷款时提供的抵押物不足，还能贷款吗？,2
请问有什么方法可以降低投资股票的风险？,4
你们的企业贷款需要什么样的信用评级？,2
我想咨询一下关于企业贷款的最低利率。,2
我公司想要查询过去一年的所有国际汇款记录，该怎么办？,5
贵行信用卡有哪些商户是可以积分加倍的？,3
你好，我想咨询一下向国外汇款的流程。,5
请问有没有适合初级投资者的国债投资项目？,4
我是新客户，对你们银行的储蓄账户感兴趣。可以详细介绍一下吗？,1
你们银行储蓄账户的存款保险覆盖多少金额？,1
请问你们银行的房贷可以用来购买二手房吗？,2
请问我能否通过手机银行查看我的储蓄账户详细信息？,1
我想了解一下储蓄账户的保险范围。,1
我想了解贵行的风险评估服务，可以帮助我理解我的投资风险承受能力吗？,4
我想了解一下贵行的定期存款账户，利率是多少？,1
请问你们的汽车贷款利率是多少？还款期限有哪些选择？,2
我想转换我的贷款类型，可以从定期贷款改为浮动利率贷款吗？,2
请问贵行的储蓄账户可以做定期自动汇款吗？,1
我对贵行的高利储蓄产品很感兴趣，请问如何申请？,1
我需要一个装修贷款，请问应该怎么办理？,2
请问贵行信用卡支持国外消费吗？有没有额外的手续费？,3
我想了解贵行的退休理财计划，可以提供一些信息吗？,4
请问我可以将信用卡的账单日改为每月的1号吗？,3
我想用我的外币储蓄账户进行汇款，可以吗？,5
我想了解一下贵行的跨国汇款费用是怎么计算的。,5
我想了解一下贷款担保的具体要求。,2
我需要汇款到澳大利亚，贵行有什么特别的要求吗？,5
请问贵行国际汇款有哪些安全保障措施？,5
请问贵行储蓄账户是否有年费或者管理费？,1
我的储蓄账户需要更新个人信息，我该怎么操作？,1
信用卡的年度报告是怎样的？包含哪些信息？,3
请问贵行的储蓄账户可以申请临时透支吗？,1
请问贵行的储蓄账户支持哪些类型的外币？,1
请问申请个人贷款需要哪些个人资料？,2
我想查询我上周的国际汇款是否已经到账。,5
请问贵行有提供海外投资的服务或建议吗？,4
我想了解贵行的国际汇款是否有优先服务选项。,5
信用卡的临时额度调整怎么办理？有时间限制吗？,3
我需要了解一下，国际汇款是否会受到节假日的影响？,5
请问贵行的储蓄账户有没有最低存款限制？,1
我想了解贵行信用卡的外汇交易费用。,3
我想更改我信用卡的账单邮寄地址，该怎么操作？,3
我对贵行的可持续发展投资项目很感兴趣，请问有哪些选项？,4
你们银行的储蓄账户能否支持多币种？,1
我想知道，贵行处理国际汇款的工作时间。,5
我想咨询下关于汽车贷款的早期还款政策。,2
请问在国外的学校可以直接接受贵行的汇款吗？,5
你们的国际汇款服务是否有语言支持？,5
请问你们的贷款产品支持提前还款吗？,2
我公司需要大额国际汇款，你们有没有相关的企业服务？,5
我想咨询一下关于投资海外房产的信息。,4
我是否可以设置两个账户之间的自动转账？,1
我对黄金投资很感兴趣，能否提供一些信息？,4
我想咨询下学生贷款的利率和还款方式。,2
你好，我想咨询一下个人住房贷款的申请条件和所需文件。,2
我想了解信用卡的分期付款服务，有什么具体条款？,3
请问贵行信用卡支持Apple Pay或者其他手机支付方式吗？,3
请问我可以设置储蓄账户的每日交易限额吗？,1
请问贵行的储蓄账户是否有年龄限制？,1
我公司想申请商业贷款，需要什么条件？,2
请问贵行的车贷利率是怎样的？有没有浮动利率选项？,2
我想了解一下贵行储蓄账户的最低余额要求。,1
我想了解一下储蓄账户的紧急取款流程。,1
我想了解一下，如果我想要贷款买房，首付比例是多少？,2
我想知道办理企业经营贷款的具体流程。,2
请问汇款到日本需要多长时间？,5
我想了解一下使用贵行国际汇款服务的安全保障。,5
如何查询我的储蓄账户的利息累计？,1
请问用美元汇款和用人民币汇款有什么不同？,5
请问贵行是否有国际汇款的批量处理服务？,5
请问我可以通过网上直接申请贷款吗？需要提交哪些材料？,2
请问汇款到印度需要遵守哪些规定？,5
我的账户需要绑定电子邮箱，怎么操作呢？,1
请问我可以设定我的信用卡账单日和还款日吗？,3
我想更改我的投资组合，应该怎么操作？,4
我想了解贵行的遗产规划和信托服务。,4
我想了解贵行处理国际汇款的时间窗口。,5
请问贵行储蓄账户支持哪些在线支付方式？,1
请问贵行信用卡有没有针对学生的特别优惠？,3
请问我可以在银行柜台直接办理国际汇款吗？,5
我想修改我的储蓄账户的密码，该怎么操作？,1
请问我可以通过贵行投资国际股指吗？,4
请问汇款到瑞士需要多少手续费？,5
我的信用卡被冻结了，应该怎么处理？,3
请问我可以在一个账户里同时开设人民币和外币储蓄吗？,1
请问个人贷款的审批需要多长时间？,2
我对贵行的长期投资计划很感兴趣，可以介绍一下吗？,4
请问贵行国际汇款有哪些安全保障措施？,5
我刚从国外回来，想开一个外币储蓄账户。,1
请问贵行提供信用卡账单分期付款服务吗？,3
信用卡的积分有效期是多久？会过期吗？,3
我想了解一下，储蓄账户的最低开户金额是多少？,1
请问我可以用手机银行办理国际汇款吗？,5
我有一笔汇款需要紧急发送到加拿大，你们可以加急处理吗？,5
我想开一个小孩的储蓄账户，需要父母的信息吗？,1
我想知道，办理贷款是否需要担保人？,2
我是留学生，想了解贵行的留学生汇款服务。,5
我想了解一下贵行对于大额国际汇款的政策。,5
